Date,Open,High,Low,Close,Volume
2016-05-06,8.0424,8.397,8.0206,8.3903,2066052
2016-05-09,8.3903,8.4037,8.2364,8.3551,444630
2016-05-10,8.3342,8.3551,8.2297,8.3134,45356
2016-05-11,8.2707,8.3903,8.1461,8.3903,248390
2016-05-12,8.3903,8.5567,8.3551,8.4597,457524
2016-05-13,8.5015,8.6337,8.4312,8.6337,204175
2016-05-16,8.6337,9.1906,8.5634,9.0505,190236
2016-05-17,9.1489,9.1489,9.0171,9.0505,582465
2016-05-18,9.1275,9.539,9.1275,9.4552,177272
2016-05-19,9.2612,9.678,9.1906,9.678,77127
2016-05-20,9.678,9.956,9.504,9.956,79293
2016-05-23,9.921,9.921,9.4691,9.748,53059
2016-05-24,9.643,10.082,8.9475,9.887,139229
2016-05-25,9.887,10.445,9.643,10.445,46077
2016-05-27,10.445,10.445,10.096,10.374,6853
2016-05-30,10.235,10.723,10.103,10.368,95238
2016-05-31,10.429,10.429,10.039,10.228,61340
2016-06-01,10.228,10.235,9.678,10.027,26091
2016-06-02,9.992,9.992,9.692,9.692,8261
2016-06-03,9.608,9.748,9.2816,9.748,12233
2016-06-06,9.992,9.992,9.504,9.748,3522
2016-06-07,9.622,9.748,9.4895,9.748,75093
2016-06-08,9.748,9.748,9.504,9.504,2183
2016-06-09,9.4134,9.553,9.4134,9.539,7031
2016-06-10,9.4691,9.608,9.3865,9.608,20951
2016-06-13,9.608,9.608,9.3986,9.539,15996
2016-06-14,9.3986,9.539,9.302,9.539,24275
2016-06-15,9.3781,9.4626,9.3781,9.4626,81570
2016-06-16,9.3299,9.3986,9.302,9.393,31869
2016-06-17,9.302,9.539,9.302,9.539,31181
2016-06-20,9.4069,9.573,9.3986,9.573,24563
2016-06-21,9.608,9.678,9.4069,9.643,29999
2016-06-22,9.643,9.879,9.643,9.748,36543
2016-06-23,9.748,9.887,9.616,9.887,11852
2016-06-24,9.3986,10.096,9.2816,10.019,158434
2016-06-27,10.019,10.445,9.748,10.445,99708
2016-06-28,10.173,10.77,10.173,10.368,47722
2016-06-29,10.368,10.368,10.27,10.318,46199
2016-06-30,10.429,10.514,10.103,10.514,132277
2016-07-01,10.381,10.409,10.346,10.402,1415
2016-07-04,10.368,10.445,10.103,10.445,11603
2016-07-05,10.291,10.304,10.22,10.228,45353
2016-07-06,10.193,10.193,9.921,10.096,155599
2016-07-07,9.997,10.15,9.997,10.145,1874
2016-07-08,10.032,10.235,10.032,10.235,1021
2016-07-11,10.429,10.429,10.103,10.332,3601
2016-07-12,10.235,10.332,10.096,10.332,31274
2016-07-13,10.235,10.424,9.753,10.228,51628
2016-07-14,10.27,10.27,10.13,10.25,27583
2016-07-15,10.332,10.332,9.97,10.228,15555
2016-07-18,10.22,10.22,10.032,10.22,89529
2016-07-19,10.214,10.22,9.803,9.879,426939
2016-07-20,9.949,9.949,9.817,9.817,12600
2016-07-21,9.817,10.082,9.783,10.082,53107
2016-07-22,10.096,10.096,9.852,9.997,3217
2016-07-25,9.997,9.997,9.824,9.929,2755
2016-07-26,9.942,10.13,9.761,10.13,22496
2016-07-27,10.117,10.117,9.643,9.748,211461
2016-07-28,9.741,9.879,9.51,9.879,181680
2016-07-29,9.817,9.817,9.658,9.741,25668
2016-08-01,10.019,10.019,9.518,9.726,8518
2016-08-02,9.726,9.726,9.504,9.671,8233
2016-08-03,9.643,9.643,9.4413,9.567,108628
2016-08-04,9.713,9.713,9.4821,9.594,97132
2016-08-05,9.6,9.6,9.3373,9.4338,7437
2016-08-08,9.811,9.811,9.1971,9.316,11718
2016-08-09,9.225,9.726,9.225,9.3986,81332
2016-08-10,9.4413,9.4413,9.2538,9.3986,9128
2016-08-11,9.3986,9.532,9.2454,9.3512,15234
2016-08-12,9.532,9.532,9.2454,9.3373,6805
2016-08-16,9.2538,9.3986,9.1971,9.2872,17222
2016-08-17,8.3903,8.3903,7.5962,7.8817,678131
2016-08-18,8.0064,8.0064,7.6243,7.721,83394
2016-08-19,7.721,7.8677,7.5821,7.7986,9873
2016-08-22,7.9028,7.9797,7.6586,7.9513,32780
2016-08-23,7.9513,7.9513,7.6657,7.7986,30875
2016-08-24,7.6796,7.937,7.6796,7.937,5654
2016-08-25,8.0064,8.1661,7.8189,8.111,11077
2016-08-26,8.0064,8.0758,7.9102,8.07,37852
2016-08-29,8.0625,8.0625,7.8117,7.9028,13723
2016-08-30,7.8948,7.9305,7.7986,7.9305,8866
2016-08-31,7.8817,7.8948,7.7351,7.7986,25751
2016-09-01,7.7077,7.8605,7.6726,7.7905,44107
2016-09-02,7.721,7.7905,7.4495,7.5057,38544
2016-09-05,7.5057,7.5057,6.6144,6.6144,68256
2016-09-06,6.5795,6.5795,6.099,6.4124,182271
2016-09-07,6.3358,6.8163,6.2662,6.8163,35045
2016-09-08,6.8094,6.8163,6.6144,6.7258,9368
